Question,Response
Warum werden mir nicht alle meine Studienbescheinigungen angezeigt?,Nach der Systemumstellung können auf alten Studienbescheinigungen (bis einschließlich SS 2021) keine Semesterbeiträge mehr angezeigt werden. Ab dem aktuellen Semester (WS 21/22) steht der Semesterbeitrag wieder drauf. Eine Übersicht über die vergangenen Semesterbeiträge findest du hier.
"Wofür steht die Abkürzung ""BPP""","Die Abkürzung ""BPP"" steht für Berufpspraktische Phase"
"Wofür steht die Abkürzung ""PO""","Die Abkürzung ""PO"" steht für Prüfungsordnung"
Wo finde ich Regelungen zur BPP,"Die BPP ist in der jeweiligen Prüfungsordnung geregelt. Hierbei gibt es 1. Allgemein Bestimmungen, die hochschulweit gelten und 2. Fachspezifische Regelungen die den Bachelor Maschinenbau/Mechatronik oder Maschinenbau Mechatronik Master betreffen"
Warum gibt es parallel mehrere Prüfungsordnungen,"Die Studiengänge an der TH sind akkredetiert, d.h., dass eine unabhängige Stelle Eine Bewertung des Studiengangs erstellt und Anregungen zur Weiterentwicklung gibt. Weitgreifende Anpassungen einer Prüfungsordnung müssen akkredetiert werden. Daher gibt es momentan zwei Prüfungsordnungen (Stand SoSe2023)"
"Welche Prüfungsordnungen gibt es im Fachbereich M, die relevant für die BPP sind",Es gibt momentan parallel die PO 2020 und PO 2016 im Studiengang Maschinenbau und parallel dazu die PO 2020 und 2016 im Studiengang Mechatronik (Stand SoSe2023)
Wo kann ich die Prüfungsordnungen finden,Die Prüfungsordnungen sind auf der Website des Fachbereichs und im Moodle-Kurs des Fachbereichs hinterlegt
Wie lange dauert die BPP,"Studierende in der PO 2020 müssen 10 Wochen Praxisphase, Studierende in der PO 2016 müssen 13 Praxisphase absolvieren (sowohl Mechatronik, als auch Maschinenbau)"
Bekomme ich eine Praxisstelle zugewiesen,Nein. Die Beschaffung einer geeigneten Praxisstelle obliegt dem Studirenden
"Gibt es Voraussetzungen, die ein Studierender erfüllen muss, bevor er die BPP absolviert","Ja. Vor Antritt der BPP müssen gewisse Voraussetzungen erfüllt sein. Diese sind in der PO, in der Anlage drei der Prüfungsordnung und im BPP-Moodle-Kurs des Fachbereichs zu finden"
Was sind die Ziele der BPP,Der Studierende soll studiengangsadäquate und berufsqualifiziernde Tätigkeiten im Praxisunternehmen ausüben. 
Welche Aufgabenbereiche sollte die BPP enthalten,"Studierende sollten in maximal drei und dabei schwerpunktmässig in einem der folgenden Augbabenbereiche mitarbeiten: 1. Entwicklung, Projektierung, Konstruktion, Berechnung 2. Fertigungsvorbereitung und -Steuerung, Fertigung 3. Montage, Inspektion/Überwachung, Instandhaltung 4. Qualitätssicherung, Abnahme von Maschinen und Anlagen 5. Technische Beratung, Vertrieb"
Müssen Fehlzeiten in der BPP nachgeholt werden,"Sollten Sie in der BPP erkranken oder Urlaub nehmen, müssen diese Zeiten nachgeholt und die BPP um die entsprechende Zeit verlängert werden"
Welche Zulassungsvoraussetzungen gelten für die BPP,1. alle Module des Bachelorstudiengangs bis einschliesslich des des dritten Studiensemester müssen erfolgreich abgeschlossen sein 2. das Grundpraktikum muss abgeschlossen sein 3. ein Praktikumsvertrag über den entsprechenden Zeitraum muss nachgewiesen werden 4. ein betreuender Professor/in muss nachgewiesen werden
Wen darf ich als betreuenden Prof. wählen,"Generell dürfen Sie aus allen Professor/innen des Fachbereichs wählen. Wenn sie sich von einem Betreuer (Professor, Lehrbeauftragten oder Mitarbeiter) des Fachbereiches IEM oder eines anderen Fachbereiches der THM betreuen lassen möchten, benötigen Sie eine Zulassung des Prüfungsausschusses"
Wer/Was sind BPP-Beauftragte,"Dies sind  die Professorinnen und Professoren  der Hochschule, die Sie im BPP fachlich betreuen."
Wer/Was ist der BPP-Referent,Der BPP-Referent ist Ihr Ansprechpartner vor und während der BPP. Er ist für die Logistik der BPP zuständig.
Wer/Was ist der BPP-Betreuer,BPP-Betreuer sind Ihre (in der Regel) akademisch ausgebildeten Ansprechpartner in den Unternehmen.
Wie komme ich zu einer BPP-Stelle,"1. über Eigeninitiative (Innitiativbewerbung) 2. über Kontakt durch Lehrende 3. über Jobportale im Internet, wie zum Beispiel IQB:  http://www.iqb.de/myjobportal 4. über Stellenanzeigen auf der TH-Homepage"
Wie ist der logistische Ablauf der BPP,1. Teilnahme an Referaten anderer Studierender und der BPP-Einführungsveranastaltung 2. Bewerbung beim Unternehmen 3. Auswahl des BPP-Beauftragten 4. Zulassungsvoraussetzungen erfüllen 5. Anmeldung der BPP beim BPP-Referenten 6. Praktische Tätigkeit im Unternehmen absolvieren 7. Erstellen des BPP-Berichts und des BPP-Vortrags 8. Firmenzeugnis/Tätigkeitsnachweis dem BPP-Referenten vorlegen 9. Vortragstermin im Moodle-Kurs buchen und BPP-Referat halten 10. Anerkennung der BPP
Wann muss die BPP beim BPP-Referenten angemeldet werden,Die Anmeldung zur BPP muss vor Antritt der BPP-Stelle beantragt werden. Erst nach Genehmigung kann die Stelle angetreten werden.
Wo finde das BPP-Begleitformular,Das BPP-Begleitformular finden Sie im Moodle-Kurs der BPP 
Benötige ich ein Formular/Laufzettel für die BPP,"Ja, Sie benötigen ein BPP-Begleitformular. Dieses finden Sie als Download im BPP-Moodle-Kurs."
Muss/kann ich bereits Einträge auf dem BPP-Begleitformular machen,"Ja, es ist sinnvoll, wenn Sie bereits Ihre persönlichen Angaben, sowie das Unternehmen/Anschrift auf dem Begleitformular vor Einreichung beim BPP-Referenten ausfüllen/eintragen"
Was benötige ich zur Anmeldung der BPP beim BPP-Referenten,"Sie benötigen: 1. unterschriebenen Arbeitsvertrag 2. Bachelorlaufzettel 3. Nachweis über 10 gehörte Vorträge und über die Einführungsveranstaltung 4. weitgehend ausgefülltes BPP-Begleitformular 5. Name, Telefonnummer des Betreuers im Unternhemen (BPP-Betreuer) 6. Name der betreuenden Professorin/Professor (BPP-Beaftragte/r)"
Gibt es Sonderregelungen für Dual-Studierende / Werkstudenten,"Ja. Wird eine der Berufspraktischen Phase gleichwertige Tätigkeit nachgewiesen, kann diese auf Antrag beim Prüfungsausschussvorsitzenden ganz oder teilweise auf die Berufspraktische Phase angerechnet werden."
Wann sind die als BPP anrechenbaren Praxiszeiten des is+i Studiums,Die als BPP anrechenbaren Praxiszeiten des is+i Studiums sind im dritten Studienjahr
Wann sind die als BPP anrechenbaren Praxiszeiten des is+a Studiums,Die als BPP anrechenbaren Praxiszeiten des is+a Studiums sind am Ende des dritten- und am Anfang des vierten Studienjahres
"Was gibt es  als is+i oder als  is+a Studierender zu beachten, wenn ich Praxisphasen anerkennen lasse","Praxisphasen können nur vom BPP-Referenten anerkannt werden, wenn Sie bereits vor den entsprechenden Praxisphasen die BPP-Teilzulassung erfüllt hatten. Andernfalls bedarf es einer Einzelfallentscheidung des jeweiligen Prüfungsausschusses. "
Was muss beim Erstellen des BPP-Berichtes beachtet werden,"1. Nach der Praxisphase muss ein schriftlicher Bericht zum fachlichen Inhalt über die praktische Tätigkeit erstellt werden 2. Form und Inhalt sind vor Beginn der Betriebspraktischen Phase mit dem BPP- Beauftragten (Professor/in) abzusprechen 3. die Abgabe des Berichts muss mindestens zwei Wochen vor dem Vortragstermin erfolgen  4. Wenn der BPP-Bericht vom BPP-Beauftragten akzeptiert wird, wird dies auf dem BPP-Begleitformular testiert."
Wo bekommen ich Hilfe bei der Erstellung des Praktikumsberichts,Die Schreibberatung der TH bietet Hilfe zur Selbsthilfe. Sie erreichen die Schreibberatung der THM unter der E-Mail: schreibberatung@thm.de
Wann sollte ich mich bewerben / Wieviel Vorlauf sollte ich bei einer Bewerbung einplanen,"1. Für eine Berufspraktische Phase in Deutschland ist ein Vorlauf von mindestens 3 bis 6 Monaten zu veranschlagen  2. Für eine Berufspraktische Phase im europäischen Raum sind  6 bis 12 Monate zu veranschlagen 3. Ist eine Berufspraktische Phase im außereuropäischen Raum geplant, sollte zur Erledigung aller Formalitäten ein Vorlauf von mindestens 12 Monaten berücksichtigt werden."
Können ausländische Studierende die Praxisphase im Heimatland absolvieren,Ja
Wie wird die BPP anerkannt,"1 . Die Anerkennung der Berufspraktischen Phase erfolgt durch die  BPP- Beauftragten und den BPP-Referenten mit der Bewertung “bestanden“ oder “nicht bestanden“ 2. Es erfolgt keine Benotung 3. Wird die Berufspraktische Phase mit “nicht bestanden“ bewertet, ist die gesamte Berufspraktische Phase einschließlich der Begleitstudien zu wiederholen 4. Erst wenn alle Bestandteile erbracht sind erfolgt die Anerkennung der Berufspraktischen Phase"
Gibt es einenbestimmten Starttermin für die BPP im Semester,Der Starttermin für die Berufspraktische Phase ist von den Semesterlaufzeiten unabhängig.
"Kann ich die Projektarbeit , BPP und Bachelorarbeit zeitlich und oder thematisch zusammen absolvieren","Alle drei Praxisphasen: - Projektarbeit,  - Berufspraktische Phase, - Bachelorarbeit,  müssen zeitlich und thematisch getrennt sein."
Wo bekomme ich Informitionen zum BPP im Ausland,Sie können sich bezüglich einer BPP im Auland beim international Office informieren. URL:  http://www.thm.de/international/
Gibt es Förederprogramme/Fördermöglichkeiten für eine BPP im Ausland,Ja. Sie können sich hierüber beim International Office informieren. URL:  http://www.thm.de/international/
Wer ist Auslandsbeauftragter im Fachbereich M,Prof. Dr. Udo Jung (Stand SoSe2023)
Muss ich mich während der BPP Pflege- / Renten- / Arbeitslos- versichern,"""Ordentlich eingeschriebene Studierende"" sind unabhängig von der wöchentlichen Arbeitszeit und der Höhe des Entgelts - im Inland  versicherungsfrei in der Pflege-, Renten- und Arbeitslosenversicherung."
Muss ich mich währende der BPP krankenversichern,"Nur Pflichtzeiten sind automatisch mit dem Studierendenstatus versichert. Freiwillige Anteile über den Pflichtbereich hinaus sind eventuell, gemäß dem Einkommen versicherungspflichtig. Setzen Sie sich mit Ihrer Krankenversicherung wegen Ihres Beitrages während des Praktikums in  Verbindung !"
Bin ich während der BPP unfallversichert,Studierende in der Berufspraktische Phase sind im Inland durch die Berufsgenossenschaft des Unternehmens unfallversichert.
Benötige ich eine Haftpflichtversicherung,Wir empfehlen den Abschluss einer Haftpflichtversicherung.
Besteht während der BPP ein Urlaubsanspruch,Ein genereller Anspruch auf Bezahlung oder Urlaub besteht nicht.
Werden Einkommen in der Berufspraktischen Phase  auf das BAFöG angerechnet.,Ja
Sind Einkommen während der BPP steuerpfichtig,Ja
Wird das Einkommen während der BPP auf das Kindergeld angerechnet,"Nein. Eltern bekommen auch dannweiter volle Kindergeldzahlungen, wenn ihr Kind während seiner ersten Berufsausbildung oder seines Erststudiums hinzuverdient."
Unterliege ich während der BPP dem Mindestlohngesetz,"Pflicht: -Praktika, -Projektphasen, -Berufspraktische Phasen, die auf Grund einer hochschulrechtlichen Bestimmung (Prüfungsordnung, Zulassungsverordnungen) zur Erlangung des Hochschulabschlusses vorgeschrieben sind sowie Vorpraktika bis zu drei Monaten unterliegen nicht dem Mindestlohngesetz und es besteht keine Dokumentationspflicht. Freiwillige Praktika von bis zu drei Monaten, welche zur Berufsorientierung oder begleitend zur Berufs- bzw. Hochschulausbildung geleistet werden, unterliegen nicht dem Mindestlohngesetz und es besteht keine Dokumentationspflicht. Der inhaltliche Bezug zur Ausbildung bzw. zum Studium muss allerdings klar erkennbar sein. Dauert das Praktikum länger als drei Monate oder wurde bereits zuvor ein Praktikum geleistet, ist das Mindestlohngesetz vom ersten Tage an anzuwenden."
Bekommen ich das Semsterticket während der BPP zurückerstattet,"Wird die BPP ausserhalb des RMV/NVV Gebietes durchgeführt, kann der Beitrag des Semestertickets auf Antrag zurückerstattet werden. Anträge gibt es beim AStA. Der Antrag muss bis spätestens 4 Wochen nach Semesterbeginn gestellt werden."
Wo finde ich den Referatsplan für die BPP-Vorträge,der Referats-Plan ist im BPP-Moodle-Kurs zu finden.
Kann ich mir selbsttätig einen Vortragstermin buchen,"Den Vortragstermin können Sie selbsttätig buchen, wenn Sie die die entsprechenden Voraussetzungen erfüllen."
In/Mit welchem Programm soll ich den Vortrag erstellen,Der BPP- Vortrag sollte in einer aktuellen Power Point Präsentation erstellt werden.
Wie lang sollte der BPP-Vortrag dauern,"Die Vortragsdauer sollte mindestens 20, maximal 30 Minuten betragen"
Sollte ich den Vortrag mit dem BPP-Unternehmen abstimmen,Der Vortrag sollte mit dem Unternehmen abgestimmt werden. (evtl Geheimhaltungspflicht beachten)
Wie sollte der Vortrag gegliedert sein,"Teil A: Vorstellung ca. 5% der Vortragszeit
Teil B: Vorstellung des Unternehmens ca. 5% der Vortragszeit
Teil C: Tätigkeiten im Unternehmen ca. 80-85% der Vortragszeit
Teil D: Fazit ca. 5% der Vortragszeit
Teil E: Auslandsaufenthalt zusätzlich ca. 5-10 Minuten"
